setup_code,setup_definition,high_lookback_days,leader,laggard,direction,setup_idx,setup_date,trigger_code,trigger_window_days,trigger_idx,trigger_date,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_2d_turn,2,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_3d_turn,3,3900,2021-07-01,1,0.004562175786560374,0.01147911431417925,-0.006916938527618877
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_3d_turn,3,3900,2021-07-01,2,-0.0015586882706861704,0.01585063375781104,-0.01740932202849721
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_3d_turn,3,3900,2021-07-01,3,0.0016167831776323638,0.01799413646234882,-0.016377353284716456
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_3d_turn,3,3900,2021-07-01,4,-0.005716500497018218,0.011845607564661575,-0.017562108061679793
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_3d_turn,3,3900,2021-07-01,5,0.006842928148199867,0.018163164531461717,-0.01132023638326185
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_1d_turn,1,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_1d_turn,1,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_1d_turn,1,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_1d_turn,1,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_1d_turn,1,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_2d_turn,2,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_2d_turn,2,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_2d_turn,2,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_2d_turn,2,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_2d_turn,2,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_3d_turn,3,3900,2021-07-01,1,0.004562175786560374,0.01147911431417925,-0.006916938527618877
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_3d_turn,3,3900,2021-07-01,2,-0.0015586882706861704,0.01585063375781104,-0.01740932202849721
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_3d_turn,3,3900,2021-07-01,3,0.0016167831776323638,0.01799413646234882,-0.016377353284716456
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3898,2021-06-29,T1_3d_turn,3,3900,2021-07-01,4,-0.005716500497018218,0.011845607564661575,-0.017562108061679793
