setup_code,setup_definition,trigger_code,trigger_window_days,high_lookback_days,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S1,same-day strict non-confirmation,T1_3d_turn,3,60,QQQ leads / DIA lags,5,26,0.008665283061540019,0.003972112610981293,0.009203349377408179,0.003549469853669107,0.0005380663158681601,0.0018806282918444328
S1,same-day strict non-confirmation,T1_3d_turn,3,128,QQQ leads / DIA lags,1,22,-0.001375403553277936,0.000543721336925429,-0.0010305084222451133,0.00036815183447891364,0.00034489513103282257,0.0007050760130793421
S1,same-day strict non-confirmation,T1_3d_turn,3,128,QQQ leads / DIA lags,2,22,0.0032149974099951665,0.0033170113185041483,0.00036852307261583695,0.0039770857659875425,-0.002846474337379329,0.000535791212025849
S1,same-day strict non-confirmation,T1_3d_turn,3,128,QQQ leads / DIA lags,3,22,0.0028467003853463206,0.00230854918497736,0.0015376125389385113,-0.00044972273113796923,-0.001309087846407809,-0.002758271916115329
S1,same-day strict non-confirmation,T1_3d_turn,3,128,QQQ leads / DIA lags,4,22,0.0079252605224214,0.0008113905627856743,0.0036628479180603342,0.000303235394596868,-0.004262412604361065,-0.002464219968614789
S1,same-day strict non-confirmation,T1_3d_turn,3,128,QQQ leads / DIA lags,5,22,0.005865747201284996,-0.000950222784228627,0.003777401033155381,0.003549469853669107,-0.002088346168129615,0.0007289927672661234
S1,same-day strict non-confirmation,T1_3d_turn,3,252,QQQ leads / DIA lags,1,21,0.0016539607711992916,0.0030474127555061292,0.0006569643260538142,0.00036815183447891364,-0.0009969964451454773,-0.0026792609210272156
S1,same-day strict non-confirmation,T1_3d_turn,3,252,QQQ leads / DIA lags,2,21,0.012780393593485368,0.02115011068047823,-0.0019094700642267935,0.007116719852174658,-0.014689863657712162,-0.014033390828303571
S1,same-day strict non-confirmation,T1_3d_turn,3,252,QQQ leads / DIA lags,3,21,0.006667043890909562,0.00230854918497736,0.002506860717955504,-0.00044972273113796923,-0.004160183172954059,-0.002758271916115329
S1,same-day strict non-confirmation,T1_3d_turn,3,252,QQQ leads / DIA lags,4,21,0.013964128771265268,0.0038780914953808754,-2.3044372552490022e-05,0.00011253094199870084,-0.013987173143817758,-0.0006988596207869735
